Ad set ID;Age;Gender;reach;impressions;frequency;Currency;cpm;cpc;ctr;amount spent (EUR);purchases;Reporting starts;Reporting ends
23853785313860129;25-34;male;20595;26243;1.274238658;EUR;14.74662986;1.919636688;0.748689184;483.7484457;10;2023-01-01;2023-04-30
23853451509910129;18-24;male;14524;20836;1.434591022;EUR;18.4807488;1.719039656;1.047417928;481.3311026;9;2023-01-01;2023-04-30
23853701734420129;55-64;male;7731;13818;1.787355132;EUR;27.79088751;1.280085336;2.473224104;480.032;4;2023-01-01;2023-04-30
23853856018680129;35-44;male;10714;12928;1.206690562;EUR;29.3539604;1.39108504;2.108910888;474.36;10;2023-01-01;2023-04-30
23853687780470129;18-24;female;11110;21282;1.915538594;EUR;17.73840874;1.58887168;1.121678008;471.8948879;10;2023-01-01;2023-04-30
23854101086880129;45-54;male;6566;12220;1.860989279;EUR;30.85564648;1.362196528;2.597708672;471.32;14;2023-01-01;2023-04-30
23852032978810261;45-54;male;12916;20869;1.615732425;EUR;18.05381037;1.373037016;1.361649928;470.9516972;5;2023-01-01;2023-04-30
23853470597090129;25-34;female;11782;14232;1.207903313;EUR;26.46253589;1.462014016;1.690837552;470.7685135;10;2023-01-01;2023-04-30
23853855992050129;45-54;male;11366;13140;1.156038851;EUR;28.58237538;1.499889824;2.001826488;469.4655157;12;2023-01-01;2023-04-30
23853470597090129;35-44;female;9862;11839;1.20053541;EUR;31.56148236;1.42837424;2.065004392;467.0783774;6;2023-01-01;2023-04-30
23853146881810129;25-34;female;28165;35254;1.251718457;EUR;10.5439941;1.429700712;0.700735224;464.6527316;6;2023-01-01;2023-04-30
23854175826740129;18-24;male;26957;36953;1.370815527;EUR;9.92170688;1.729409672;0.592323176;458.2935624;10;2023-01-01;2023-04-30
23853958531360129;25-34;male;22195;25464;1.147275087;EUR;14.38039586;1.546378376;0.919886896;457.728;9;2023-01-01;2023-04-30
23853687780470129;35-44;male;9190;17350;1.887795961;EUR;21.04924259;1.366751272;1.781712544;456.4949242;6;2023-01-01;2023-04-30
23853882046140129;35-44;female;9779;11672;1.193553665;EUR;31.1342015;1.98361572;1.864290608;454.248;6;2023-01-01;2023-04-30
23853855968070129;35-44;male;9222;14429;1.564538515;EUR;25.11288534;1.960761904;1.911732088;452.936;10;2023-01-01;2023-04-30
23852526898840129;35-44;male;17638;23917;1.355950653;EUR;15.06341986;1.123032416;1.428953704;450.336;10;2023-01-01;2023-04-30
23853741619790129;45-54;male;7014;13641;1.944685219;EUR;26.26567357;1.735875968;1.773503024;447.856;12;2023-01-01;2023-04-30
23853182476040129;25-34;female;14464;18622;1.2875;EUR;19.11744995;1.81639184;0.924478048;445.016;11;2023-01-01;2023-04-30
23854349265600129;35-44;female;7763;11905;1.533491344;EUR;29.84768793;2.375205584;1.440763392;444.1634441;7;2023-01-01;2023-04-30
23853882046140129;25-34;female;12902;15330;1.18812004;EUR;23.01805657;2.564372096;1.068781968;441.072;11;2023-01-01;2023-04-30
23854405947010129;45-54;female;10701;14612;1.365505383;EUR;23.96575126;1.525207128;1.940323024;437.7344469;17;2023-01-01;2023-04-30
23853701734420129;25-34;male;14208;23703;1.66829955;EUR;14.75608357;1.662387832;1.023321744;437.208;10;2023-01-01;2023-04-30
23853451509910129;18-24;female;10912;15885;1.455718475;EUR;21.75808146;2.03787012;1.067687352;432.0284656;12;2023-01-01;2023-04-30
23854337515530129;35-44;female;9600;12754;1.328583333;EUR;27.01674716;2.070807696;1.384933824;430.728;6;2023-01-01;2023-04-30
23853182203280129;25-34;female;14336;17235;1.202232143;EUR;19.95293878;1.927650728;1.03973264;429.8661129;6;2023-01-01;2023-04-30
23853130348280129;35-44;female;13107;16548;1.262512207;EUR;20.7563541;1.511778816;1.206671504;429.3451844;6;2023-01-01;2023-04-30
23852032978810261;35-44;male;16039;25666;1.60017956;EUR;13.19562715;1.539425856;1.009912104;423.3421104;6;2023-01-01;2023-04-30
23854349265600129;35-44;male;7885;12485;1.583400974;EUR;27.10670769;1.871802128;1.573753688;423.0272802;7;2023-01-01;2023-04-30
23854175826740129;35-44;female;11674;17430;1.493078399;EUR;19.40816776;1.418945472;1.516500664;422.8457509;6;2023-01-01;2023-04-30
23853855950630129;35-44;female;9318;11838;1.270432692;EUR;28.48936675;2.242476856;1.329909448;421.5856492;5;2023-01-01;2023-04-30
23854100757070129;25-34;male;12250;14486;1.182536573;EUR;23.22961871;1.767305488;1.541945104;420.6187061;10;2023-01-01;2023-04-30
23853260889700129;18-24;male;21530;27942;1.297859691;EUR;11.97980722;1.615562576;0.716903344;418.4307068;7;2023-01-01;2023-04-30
23853687780470129;45-54;male;6707;12378;1.845539122;EUR;26.90460925;1.65196436;1.887158272;416.2950189;7;2023-01-01;2023-04-30
23853936104670129;35-44;male;12531;18574;1.482252298;EUR;17.87448875;1.812270216;1.14049444;415.0098799;10;2023-01-01;2023-04-30
23854065435350129;35-44;male;13670;16216;1.186212547;EUR;20.32075426;1.350497344;1.527380368;411.9016887;6;2023-01-01;2023-04-30
23854172437630129;35-44;female;7654;12143;1.586433946;EUR;27.12115422;1.68029388;1.85519468;411.672;10;2023-01-01;2023-04-30
23853954814850129;45-54;female;7117;10677;1.50022482;EUR;30.81507078;1.594023;1.864228984;411.2579347;10;2023-01-01;2023-04-30
23854175826740129;25-34;male;21069;30641;1.454321081;EUR;10.63151965;1.21551592;0.954544264;407.1978341;10;2023-01-01;2023-04-30
23853130348280129;25-34;female;16742;20190;1.20594419;EUR;16.11600991;1.66695024;0.81147476;406.7358582;10;2023-01-01;2023-04-30
23854172437630129;35-44;male;9626;14842;1.54197141;EUR;21.88282218;1.492617648;1.591117336;405.992;9;2023-01-01;2023-04-30
23854175826740129;18-24;female;20326;27823;1.368820844;EUR;11.54736662;1.949543032;0.561258232;401.6058639;6;2023-01-01;2023-04-30
23853269495900129;25-34;female;20019;20834;1.040680946;EUR;15.38898702;1.416113072;0.943091928;400.76;5;2023-01-01;2023-04-30
